Student Name: William Collins
line 1: op1 = -489.11, op2 = 432.89, op = '+', result = -56.219
line 541: op1 = -349.32, op2 = -537.41, op = '+', result = -886.732
line 528: op1 = 685.46, op2 = -8.68, op = '/', result = -79.000
line 534: op1 = 80.54, op2 = -483.23, op = '*', result = -38917.871
line 532: op1 = 222.25, op2 = 184.36, op = '-', result = 37.883
line 542: op1 = -247.57, op2 = 337.96, op = '+', result = 90.384
line 529: op1 = -8.41, op2 = -344.97, op = '/', result = 0.024
line 535: op1 = -155.64, op2 = -135.01, op = '*', result = 21013.492
line 543: op1 = 675.76, op2 = -582.84, op = '+', result = 92.917
line 530: op1 = -22.98, op2 = -673.99, op = '/', result = 0.034
line 536: op1 = -16.83, op2 = -14.55, op = '*', result = 244.844
line 533: op1 = 215.17, op2 = 303.00, op = '-', result = -87.825
line 544: op1 = -95.43, op2 = 138.37, op = '+', result = 42.943
line 531: op1 = -557.66, op2 = 532.32, op = '/', result = -1.048
line 545: op1 = 210.33, op2 = 164.60, op = '+', result = 374.928
line 537: op1 = 27.81, op2 = -240.99, op = '*', result = -6701.090
line 534: op1 = 80.54, op2 = -483.23, op = '-', result = 563.763
line 532: op1 = 222.25, op2 = 184.36, op = '/', result = 1.205
line 546: op1 = -271.10, op2 = 712.59, op = '+', result = 441.499
line 538: op1 = 199.81, op2 = 2.25, op = '*', result = 448.571
line 535: op1 = -155.64, op2 = -135.01, op = '-', result = -20.627
line 547: op1 = -259.02, op2 = 385.20, op = '+', result = 126.187
line 539: op1 = -115.82, op2 = -137.27, op = '*', result = 15899.497
line 536: op1 = -16.83, op2 = -14.55, op = '-', result = -2.286
line 533: op1 = 215.17, op2 = 303.00, op = '/', result = 0.710
line 548: op1 = 805.28, op2 = -426.90, op = '+', result = 378.386
line 540: op1 = -49.56, op2 = -247.82, op = '*', result = 12282.894
line 537: op1 = 27.81, op2 = -240.99, op = '-', result = 268.796
line 534: op1 = 80.54, op2 = -483.23, op = '/', result = -0.167
line 549: op1 = -277.23, op2 = -321.59, op = '+', result = -598.814
line 535: op1 = -155.64, op2 = -135.01, op = '/', result = 1.153
line 541: op1 = -349.32, op2 = -537.41, op = '*', result = 187728.604
line 538: op1 = 199.81, op2 = 2.25, op = '-', result = 197.562
line 550: op1 = 310.94, op2 = 412.47, op = '+', result = 723.404
line 536: op1 = -16.83, op2 = -14.55, op = '/', result = 1.157
line 542: op1 = -247.57, op2 = 337.96, op = '*', result = -83669.663
line 539: op1 = -115.82, op2 = -137.27, op = '-', result = 21.449
line 551: op1 = 372.10, op2 = -176.26, op = '+', result = 195.844
line 537: op1 = 27.81, op2 = -240.99, op = '/', result = -0.115
line 543: op1 = 675.76, op2 = -582.84, op = '*', result = -393858.439
line 540: op1 = -49.56, op2 = -247.82, op = '-', result = 198.256
line 552: op1 = -312.45, op2 = -605.37, op = '+', result = -917.825
line 538: op1 = 199.81, op2 = 2.25, op = '/', result = 89.000
line 544: op1 = -95.43, op2 = 138.37, op = '*', result = -13204.614
line 541: op1 = -349.32, op2 = -537.41, op = '-', result = 188.095
line 545: op1 = 210.33, op2 = 164.60, op = '*', result = 34620.043
line 553: op1 = -208.82, op2 = 91.59, op = '+', result = -117.235
line 539: op1 = -115.82, op2 = -137.27, op = '/', result = 0.844
line 542: op1 = -247.57, op2 = 337.96, op = '-', result = -585.532
line 546: op1 = -271.10, op2 = 712.59, op = '*', result = -193181.591
line 554: op1 = -424.17, op2 = -424.17, op = '+', result = -848.332
line 540: op1 = -49.56, op2 = -247.82, op = '/', result = 0.200
line 543: op1 = 675.76, op2 = -582.84, op = '-', result = 1258.597
line 547: op1 = -259.02, op2 = 385.20, op = '*', result = -99773.381
line 555: op1 = 166.57, op2 = -233.20, op = '+', result = -66.628
line 541: op1 = -349.32, op2 = -537.41, op = '/', result = 0.650
line 544: op1 = -95.43, op2 = 138.37, op = '-', result = -233.800
line 548: op1 = 805.28, op2 = -426.90, op = '*', result = -343773.810
line 556: op1 = -458.85, op2 = 449.09, op = '+', result = -9.763
line 542: op1 = -247.57, op2 = 337.96, op = '/', result = -0.733
line 557: op1 = 158.89, op2 = 3.70, op = '+', result = 162.580
line 545: op1 = 210.33, op2 = 164.60, op = '-', result = 45.723
line 549: op1 = -277.23, op2 = -321.59, op = '*', result = 89152.636
line 543: op1 = 675.76, op2 = -582.84, op = '/', result = -1.159
line 558: op1 = -370.96, op2 = 212.75, op = '+', result = -158.202
line 546: op1 = -271.10, op2 = 712.59, op = '-', result = -983.691
line 550: op1 = 310.94, op2 = 412.47, op = '*', result = 128251.400
line 544: op1 = -95.43, op2 = 138.37, op = '/', result = -0.690
line 559: op1 = -198.83, op2 = -47.87, op = '+', result = -246.696
line 547: op1 = -259.02, op2 = 385.20, op = '-', result = -644.218
line 551: op1 = 372.10, op2 = -176.26, op = '*', result = -65586.712
line 545: op1 = 210.33, op2 = 164.60, op = '/', result = 1.278
line 560: op1 = -803.74, op2 = 385.47, op = '+', result = -418.271
line 548: op1 = 805.28, op2 = -426.90, op = '-', result = 1232.182
line 552: op1 = -312.45, op2 = -605.37, op = '*', result = 189149.911
line 546: op1 = -271.10, op2 = 712.59, op = '/', result = -0.380
line 553: op1 = -208.82, op2 = 91.59, op = '*', result = -19126.193
line 561: op1 = -89.46, op2 = -51.12, op = '+', result = -140.574
line 549: op1 = -277.23, op2 = -321.59, op = '-', result = 44.357
line 547: op1 = -259.02, op2 = 385.20, op = '/', result = -0.672
line 554: op1 = -424.17, op2 = -424.17, op = '*', result = 179916.725
line 562: op1 = -420.32, op2 = -201.40, op = '+', result = -621.720
line 550: op1 = 310.94, op2 = 412.47, op = '-', result = -101.530
line 548: op1 = 805.28, op2 = -426.90, op = '/', result = -1.886
line 555: op1 = 166.57, op2 = -233.20, op = '*', result = -38843.611
line 563: op1 = 129.57, op2 = -588.96, op = '+', result = -459.393
line 551: op1 = 372.10, op2 = -176.26, op = '-', result = 548.363
line 549: op1 = -277.23, op2 = -321.59, op = '/', result = 0.862
line 556: op1 = -458.85, op2 = 449.09, op = '*', result = -206064.221
line 564: op1 = -730.15, op2 = -249.32, op = '+', result = -979.464
line 552: op1 = -312.45, op2 = -605.37, op = '-', result = 292.923
line 565: op1 = -175.73, op2 = -73.56, op = '+', result = -249.289
line 550: op1 = 310.94, op2 = 412.47, op = '/', result = 0.754
line 557: op1 = 158.89, op2 = 3.70, op = '*', result = 587.080
line 553: op1 = -208.82, op2 = 91.59, op = '-', result = -300.414
line 566: op1 = -70.74, op2 = -210.07, op = '+', result = -280.807
line 551: op1 = 372.10, op2 = -176.26, op = '/', result = -2.111
line 558: op1 = -370.96, op2 = 212.75, op = '*', result = -78922.531
line 554: op1 = -424.17, op2 = -424.17, op = '-', result = 0.000
line 567: op1 = 451.04, op2 = 735.91, op = '+', result = 1186.947
line 552: op1 = -312.45, op2 = -605.37, op = '/', result = 0.516
line 559: op1 = -198.83, op2 = -47.87, op = '*', result = 9517.277
line 555: op1 = 166.57, op2 = -233.20, op = '-', result = 399.767
line 568: op1 = -634.00, op2 = -139.34, op = '+', result = -773.340
line 553: op1 = -208.82, op2 = 91.59, op = '/', result = -2.280
line 560: op1 = -803.74, op2 = 385.47, op = '*', result = -309812.941
line 556: op1 = -458.85, op2 = 449.09, op = '-', result = -907.938
line 561: op1 = -89.46, op2 = -51.12, op = '*', result = 4572.792
line 569: op1 = 0.68, op2 = 0.29, op = '+', result = 0.974
line 554: op1 = -424.17, op2 = -424.17, op = '/', result = 1.000
line 557: op1 = 158.89, op2 = 3.70, op = '-', result = 155.190
line 562: op1 = -420.32, op2 = -201.40, op = '*', result = 84653.065
line 570: op1 = 205.41, op2 = -345.95, op = '+', result = -140.542
line 555: op1 = 166.57, op2 = -233.20, op = '/', result = -0.714
line 558: op1 = -370.96, op2 = 212.75, op = '-', result = -583.711
line 563: op1 = 129.57, op2 = -588.96, op = '*', result = -76313.517
line 571: op1 = -133.07, op2 = -225.65, op = '+', result = -358.722
line 556: op1 = -458.85, op2 = 449.09, op = '/', result = -1.022
line 559: op1 = -198.83, op2 = -47.87, op = '-', result = -150.963
line 564: op1 = -730.15, op2 = -249.32, op = '*', result = 182038.419
line 572: op1 = -499.65, op2 = 182.30, op = '+', result = -317.343
line 557: op1 = 158.89, op2 = 3.70, op = '/', result = 43.000
line 573: op1 = 10.16, op2 = 20.75, op = '+', result = 30.906
line 560: op1 = -803.74, op2 = 385.47, op = '-', result = -1189.202
line 565: op1 = -175.73, op2 = -73.56, op = '*', result = 12926.731
line 558: op1 = -370.96, op2 = 212.75, op = '/', result = -1.744
line 574: op1 = -207.90, op2 = -31.50, op = '+', result = -239.401
line 561: op1 = -89.46, op2 = -51.12, op = '-', result = -38.338
line 566: op1 = -70.74, op2 = -210.07, op = '*', result = 14859.850
line 559: op1 = -198.83, op2 = -47.87, op = '/', result = 4.154
line 575: op1 = 545.89, op2 = 545.89, op = '+', result = 1091.783
line 562: op1 = -420.32, op2 = -201.40, op = '-', result = -218.916
line 567: op1 = 451.04, op2 = 735.91, op = '*', result = 331923.654
line 560: op1 = -803.74, op2 = 385.47, op = '/', result = -2.085
line 576: op1 = 61.13, op2 = -241.45, op = '+', result = -180.320
line 563: op1 = 129.57, op2 = -588.96, op = '-', result = 718.537
line 568: op1 = -634.00, op2 = -139.34, op = '*', result = 88341.868
line 561: op1 = -89.46, op2 = -51.12, op = '/', result = 1.750
line 569: op1 = 0.68, op2 = 0.29, op = '*', result = 0.198
line 577: op1 = 412.34, op2 = 486.79, op = '+', result = 899.128
line 564: op1 = -730.15, op2 = -249.32, op = '-', result = -480.828
line 562: op1 = -420.32, op2 = -201.40, op = '/', result = 2.087
line 570: op1 = 205.41, op2 = -345.95, op = '*', result = -71060.314
line 578: op1 = -8.09, op2 = -8.41, op = '+', result = -16.501
line 565: op1 = -175.73, op2 = -73.56, op = '-', result = -102.168
line 563: op1 = 129.57, op2 = -588.96, op = '/', result = -0.220
line 571: op1 = -133.07, op2 = -225.65, op = '*', result = 30027.928
line 579: op1 = 82.34, op2 = -77.85, op = '+', result = 4.491
line 566: op1 = -70.74, op2 = -210.07, op = '-', result = 139.332
line 564: op1 = -730.15, op2 = -249.32, op = '/', result = 2.929
line 572: op1 = -499.65, op2 = 182.30, op = '*', result = -91087.289
line 580: op1 = -27.58, op2 = -12.07, op = '+', result = -39.652
line 567: op1 = 451.04, op2 = 735.91, op = '-', result = -284.867
line 581: op1 = 2.77, op2 = -9.96, op = '+', result = -7.190
line 565: op1 = -175.73, op2 = -73.56, op = '/', result = 2.389
line 573: op1 = 10.16, op2 = 20.75, op = '*', result = 210.764
line 568: op1 = -634.00, op2 = -139.34, op = '-', result = -494.659
line 582: op1 = -698.77, op2 = -456.14, op = '+', result = -1154.904
line 566: op1 = -70.74, op2 = -210.07, op = '/', result = 0.337
line 574: op1 = -207.90, op2 = -31.50, op = '*', result = 6548.885
line 569: op1 = 0.68, op2 = 0.29, op = '-', result = 0.395
line 583: op1 = -417.44, op2 = 175.32, op = '+', result = -242.113
line 567: op1 = 451.04, op2 = 735.91, op = '/', result = 0.613
line 575: op1 = 545.89, op2 = 545.89, op = '*', result = 297997.655
line 570: op1 = 205.41, op2 = -345.95, op = '-', result = 551.356
line 584: op1 = 534.73, op2 = -199.39, op = '+', result = 335.340
line 568: op1 = -634.00, op2 = -139.34, op = '/', result = 4.550
line 576: op1 = 61.13, op2 = -241.45, op = '*', result = -14758.413
line 571: op1 = -133.07, op2 = -225.65, op = '-', result = 92.573
line 585: op1 = -20.69, op2 = -41.39, op = '+', result = -62.083
line 569: op1 = 0.68, op2 = 0.29, op = '/', result = 2.364
line 572: op1 = -499.65, op2 = 182.30, op = '-', result = -681.950
line 577: op1 = 412.34, op2 = 486.79, op = '*', result = 200721.954
line 586: op1 = -574.93, op2 = 124.31, op = '+', result = -450.622
line 570: op1 = 205.41, op2 = -345.95, op = '/', result = -0.594
line 573: op1 = 10.16, op2 = 20.75, op = '-', result = -10.590
line 578: op1 = -8.09, op2 = -8.41, op = '*', result = 68.043
line 587: op1 = 473.35, op2 = 545.25, op = '+', result = 1018.602
line 571: op1 = -133.07, op2 = -225.65, op = '/', result = 0.590
line 574: op1 = -207.90, op2 = -31.50, op = '-', result = -176.400
line 579: op1 = 82.34, op2 = -77.85, op = '*', result = -6409.827
line 588: op1 = -55.72, op2 = 54.08, op = '+', result = -1.639
line 572: op1 = -499.65, op2 = 182.30, op = '/', result = -2.741
line 575: op1 = 545.89, op2 = 545.89, op = '-', result = 0.000
line 580: op1 = -27.58, op2 = -12.07, op = '*', result = 332.888
line 576: op1 = 61.13, op2 = -241.45, op = '-', result = 302.570
line 589: op1 = 476.56, op2 = -158.85, op = '+', result = 317.705
line 573: op1 = 10.16, op2 = 20.75, op = '/', result = 0.490
line 581: op1 = 2.77, op2 = -9.96, op = '*', result = -27.529
line 590: op1 = -208.93, op2 = 6.96, op = '+', result = -201.966
line 574: op1 = -207.90, op2 = -31.50, op = '/', result = 6.600
line 582: op1 = -698.77, op2 = -456.14, op = '*', result = 318733.988
line 577: op1 = 412.34, op2 = 486.79, op = '-', result = -74.450
line 591: op1 = -181.81, op2 = -176.13, op = '+', result = -357.937
line 575: op1 = 545.89, op2 = 545.89, op = '/', result = 1.000
line 583: op1 = -417.44, op2 = 175.32, op = '*', result = -73186.284
line 578: op1 = -8.09, op2 = -8.41, op = '-', result = 0.324
line 592: op1 = -396.61, op2 = -42.19, op = '+', result = -438.803
line 576: op1 = 61.13, op2 = -241.45, op = '/', result = -0.253
line 584: op1 = 534.73, op2 = -199.39, op = '*', result = -106621.015
line 579: op1 = 82.34, op2 = -77.85, op = '-', result = 160.186
line 593: op1 = -61.53, op2 = 82.04, op = '+', result = 20.510
line 585: op1 = -20.69, op2 = -41.39, op = '*', result = 856.514
line 577: op1 = 412.34, op2 = 486.79, op = '/', result = 0.847
line 580: op1 = -27.58, op2 = -12.07, op = '-', result = -15.516
line 594: op1 = 38.39, op2 = -178.52, op = '+', result = -140.132
line 586: op1 = -574.93, op2 = 124.31, op = '*', result = -71469.414
line 578: op1 = -8.09, op2 = -8.41, op = '/', result = 0.962
line 581: op1 = 2.77, op2 = -9.96, op = '-', result = 12.720
line 595: op1 = -348.01, op2 = -528.46, op = '+', result = -876.466
line 587: op1 = 473.35, op2 = 545.25, op = '*', result = 258095.263
line 579: op1 = 82.34, op2 = -77.85, op = '/', result = -1.058
line 582: op1 = -698.77, op2 = -456.14, op = '-', result = -242.627
line 596: op1 = 110.98, op2 = 832.37, op = '+', result = 943.354
line 588: op1 = -55.72, op2 = 54.08, op = '*', result = -3012.994
line 580: op1 = -27.58, op2 = -12.07, op = '/', result = 2.286
line 589: op1 = 476.56, op2 = -158.85, op = '*', result = -75702.467
line 583: op1 = -417.44, op2 = 175.32, op = '-', result = -592.760
line 597: op1 = 71.33, op2 = -25.18, op = '+', result = 46.156
line 581: op1 = 2.77, op2 = -9.96, op = '/', result = -0.278
line 590: op1 = -208.93, op2 = 6.96, op = '*', result = -1455.060
line 584: op1 = 534.73, op2 = -199.39, op = '-', result = 734.123
line 598: op1 = -175.04, op2 = 568.87, op = '+', result = 393.833
line 582: op1 = -698.77, op2 = -456.14, op = '/', result = 1.532
line 591: op1 = -181.81, op2 = -176.13, op = '*', result = 32021.711
line 585: op1 = -20.69, op2 = -41.39, op = '-', result = 20.694
line 599: op1 = 39.39, op2 = 13.13, op = '+', result = 52.517
line 583: op1 = -417.44, op2 = 175.32, op = '/', result = -2.381
line 592: op1 = -396.61, op2 = -42.19, op = '*', result = 16734.011
line 586: op1 = -574.93, op2 = 124.31, op = '-', result = -699.241
line 600: op1 = -198.10, op2 = 206.03, op = '+', result = 7.924
line 584: op1 = 534.73, op2 = -199.39, op = '/', result = -2.682
line 601: op1 = -600.53, op2 = -20.95, op = '+', result = -621.482
line 593: op1 = -61.53, op2 = 82.04, op = '*', result = -5048.122
line 587: op1 = 473.35, op2 = 545.25, op = '-', result = -71.901
line 585: op1 = -20.69, op2 = -41.39, op = '/', result = 0.500
line 602: op1 = 184.73, op2 = 74.89, op = '+', result = 259.615
line 594: op1 = 38.39, op2 = -178.52, op = '*', result = -6854.010
line 588: op1 = -55.72, op2 = 54.08, op = '-', result = -109.794
line 586: op1 = -574.93, op2 = 124.31, op = '/', result = -4.625
line 603: op1 = -270.95, op2 = -483.32, op = '+', result = -754.269
line 595: op1 = -348.01, op2 = -528.46, op = '*', result = 183907.914
line 589: op1 = 476.56, op2 = -158.85, op = '-', result = 635.410
line 587: op1 = 473.35, op2 = 545.25, op = '/', result = 0.868
line 604: op1 = -82.33, op2 = 185.24, op = '+', result = 102.911
line 596: op1 = 110.98, op2 = 832.37, op = '*', result = 92378.843
line 590: op1 = -208.93, op2 = 6.96, op = '-', result = -215.894
line 597: op1 = 71.33, op2 = -25.18, op = '*', result = -1795.884
line 588: op1 = -55.72, op2 = 54.08, op = '/', result = -1.030
line 605: op1 = -440.66, op2 = 310.10, op = '+', result = -130.567
line 591: op1 = -181.81, op2 = -176.13, op = '-', result = -5.682
line 598: op1 = -175.04, op2 = 568.87, op = '*', result = -99573.215
line 589: op1 = 476.56, op2 = -158.85, op = '/', result = -3.000
line 606: op1 = 21.99, op2 = 44.80, op = '+', result = 66.795
line 592: op1 = -396.61, op2 = -42.19, op = '-', result = -354.418
line 599: op1 = 39.39, op2 = 13.13, op = '*', result = 517.128
line 590: op1 = -208.93, op2 = 6.96, op = '/', result = -30.000
line 607: op1 = -488.13, op2 = -158.13, op = '+', result = -646.252
line 593: op1 = -61.53, op2 = 82.04, op = '-', result = -143.573
line 600: op1 = -198.10, op2 = 206.03, op = '*', result = -40814.942
line 591: op1 = -181.81, op2 = -176.13, op = '/', result = 1.032
line 608: op1 = -2.45, op2 = 151.79, op = '+', result = 149.338
line 594: op1 = 38.39, op2 = -178.52, op = '-', result = 216.917
line 609: op1 = -99.81, op2 = 19.96, op = '+', result = -79.851
line 601: op1 = -600.53, op2 = -20.95, op = '*', result = 12580.470
line 592: op1 = -396.61, op2 = -42.19, op = '/', result = 9.400
line 595: op1 = -348.01, op2 = -528.46, op = '-', result = 180.449
line 610: op1 = -20.41, op2 = -34.55, op = '+', result = -54.961
line 602: op1 = 184.73, op2 = 74.89, op = '*', result = 13833.924
line 593: op1 = -61.53, op2 = 82.04, op = '/', result = -0.750
line 596: op1 = 110.98, op2 = 832.37, op = '-', result = -721.388
line 611: op1 = -713.70, op2 = 631.35, op = '+', result = -82.350
line 603: op1 = -270.95, op2 = -483.32, op = '*', result = 130955.554
line 594: op1 = 38.39, op2 = -178.52, op = '/', result = -0.215
line 597: op1 = 71.33, op2 = -25.18, op = '-', result = 96.509
line 612: op1 = -460.91, op2 = -371.70, op = '+', result = -832.609
line 604: op1 = -82.33, op2 = 185.24, op = '*', result = -15250.462
line 595: op1 = -348.01, op2 = -528.46, op = '/', result = 0.659
line 598: op1 = -175.04, op2 = 568.87, op = '-', result = -743.907
line 596: op1 = 110.98, op2 = 832.37, op = '/', result = 0.133
line 613: op1 = 453.94, op2 = -517.28, op = '+', result = -63.340
line 605: op1 = -440.66, op2 = 310.10, op = '*', result = -136648.890
line 599: op1 = 39.39, op2 = 13.13, op = '-', result = 26.258
line 597: op1 = 71.33, op2 = -25.18, op = '/', result = -2.833
line 614: op1 = 162.91, op2 = 237.22, op = '+', result = 400.135
line 606: op1 = 21.99, op2 = 44.80, op = '*', result = 985.342
line 600: op1 = -198.10, op2 = 206.03, op = '-', result = -404.132
line 598: op1 = -175.04, op2 = 568.87, op = '/', result = -0.308
line 615: op1 = -823.74, op2 = 318.87, op = '+', result = -504.874
line 607: op1 = -488.13, op2 = -158.13, op = '*', result = 77185.200
line 601: op1 = -600.53, op2 = -20.95, op = '-', result = -579.584
line 599: op1 = 39.39, op2 = 13.13, op = '/', result = 3.000
line 616: op1 = 253.83, op2 = 135.10, op = '+', result = 388.932
line 608: op1 = -2.45, op2 = 151.79, op = '*', result = -371.598
line 617: op1 = 489.72, op2 = 109.94, op = '+', result = 599.652
line 602: op1 = 184.73, op2 = 74.89, op = '-', result = 109.837
line 600: op1 = -198.10, op2 = 206.03, op = '/', result = -0.962
line 609: op1 = -99.81, op2 = 19.96, op = '*', result = -1992.552
line 618: op1 = -653.64, op2 = 180.31, op = '+', result = -473.326
line 603: op1 = -270.95, op2 = -483.32, op = '-', result = 212.367
line 601: op1 = -600.53, op2 = -20.95, op = '/', result = 28.667
line 610: op1 = -20.41, op2 = -34.55, op = '*', result = 705.240
line 619: op1 = 358.84, op2 = -157.45, op = '+', result = 201.389
line 604: op1 = -82.33, op2 = 185.24, op = '-', result = -267.568
line 602: op1 = 184.73, op2 = 74.89, op = '/', result = 2.467
line 611: op1 = -713.70, op2 = 631.35, op = '*', result = -450594.365
line 620: op1 = 244.00, op2 = -128.10, op = '+', result = 115.900
line 605: op1 = -440.66, op2 = 310.10, op = '-', result = -750.762
line 603: op1 = -270.95, op2 = -483.32, op = '/', result = 0.561
line 606: op1 = 21.99, op2 = 44.80, op = '-', result = -22.808
line 612: op1 = -460.91, op2 = -371.70, op = '*', result = 171320.039
line 621: op1 = -272.01, op2 = -164.86, op = '+', result = -436.869
line 604: op1 = -82.33, op2 = 185.24, op = '/', result = -0.444
line 607: op1 = -488.13, op2 = -158.13, op = '-', result = -330.001
line 613: op1 = 453.94, op2 = -517.28, op = '*', result = -234811.524
line 622: op1 = -17.38, op2 = -217.19, op = '+', result = -234.563
line 605: op1 = -440.66, op2 = 310.10, op = '/', result = -1.421
line 608: op1 = -2.45, op2 = 151.79, op = '-', result = -154.235
line 614: op1 = 162.91, op2 = 237.22, op = '*', result = 38646.561
line 623: op1 = 180.66, op2 = -125.68, op = '+', result = 54.984
line 606: op1 = 21.99, op2 = 44.80, op = '/', result = 0.491
line 609: op1 = -99.81, op2 = 19.96, op = '-', result = -119.776
line 615: op1 = -823.74, op2 = 318.87, op = '*', result = -262665.064
line 624: op1 = 762.69, op2 = 248.32, op = '+', result = 1011.013
line 607: op1 = -488.13, op2 = -158.13, op = '/', result = 3.087
line 625: op1 = -442.04, op2 = 819.62, op = '+', result = 377.578
line 610: op1 = -20.41, op2 = -34.55, op = '-', result = 14.133
line 616: op1 = 253.83, op2 = 135.10, op = '*', result = 34293.013
line 608: op1 = -2.45, op2 = 151.79, op = '/', result = -0.016
line 626: op1 = -213.41, op2 = -79.04, op = '+', result = -292.448
line 611: op1 = -713.70, op2 = 631.35, op = '-', result = -1345.050
line 617: op1 = 489.72, op2 = 109.94, op = '*', result = 53837.490
line 609: op1 = -99.81, op2 = 19.96, op = '/', result = -5.000
line 627: op1 = 66.44, op2 = -256.25, op = '+', result = -189.818
line 612: op1 = -460.91, op2 = -371.70, op = '-', result = -89.208
line 618: op1 = -653.64, op2 = 180.31, op = '*', result = -117861.116
line 610: op1 = -20.41, op2 = -34.55, op = '/', result = 0.591
line 628: op1 = 516.38, op2 = 397.22, op = '+', result = 913.602
line 613: op1 = 453.94, op2 = -517.28, op = '-', result = 971.215
line 619: op1 = 358.84, op2 = -157.45, op = '*', result = -56499.024
line 611: op1 = -713.70, op2 = 631.35, op = '/', result = -1.130
line 620: op1 = 244.00, op2 = -128.10, op = '*', result = -31256.254
line 629: op1 = -277.48, op2 = 48.63, op = '+', result = -228.852
line 614: op1 = 162.91, op2 = 237.22, op = '-', result = -74.311
line 612: op1 = -460.91, op2 = -371.70, op = '/', result = 1.240
line 630: op1 = 68.63, op2 = -343.17, op = '+', result = -274.540
line 615: op1 = -823.74, op2 = 318.87, op = '-', result = -1142.610
line 613: op1 = 453.94, op2 = -517.28, op = '/', result = -0.878
line 621: op1 = -272.01, op2 = -164.86, op = '*', result = 44842.984
line 631: op1 = 323.63, op2 = 45.58, op = '+', result = 369.210
line 616: op1 = 253.83, op2 = 135.10, op = '-', result = 118.727
line 614: op1 = 162.91, op2 = 237.22, op = '/', result = 0.687
line 622: op1 = -17.38, op2 = -217.19, op = '*', result = 3773.652
line 632: op1 = -24.72, op2 = -138.44, op = '+', result = -163.158
line 617: op1 = 489.72, op2 = 109.94, op = '-', result = 379.780
line 615: op1 = -823.74, op2 = 318.87, op = '/', result = -2.583
line 618: op1 = -653.64, op2 = 180.31, op = '-', result = -833.956
line 623: op1 = 180.66, op2 = -125.68, op = '*', result = -22705.553
line 633: op1 = 4.81, op2 = -202.20, op = '+', result = -197.383
line 616: op1 = 253.83, op2 = 135.10, op = '/', result = 1.879
line 619: op1 = 358.84, op2 = -157.45, op = '-', result = 516.288
line 624: op1 = 762.69, op2 = 248.32, op = '*', result = 189391.250
line 634: op1 = -104.33, op2 = 85.01, op = '+', result = -19.321
line 617: op1 = 489.72, op2 = 109.94, op = '/', result = 4.455
line 620: op1 = 244.00, op2 = -128.10, op = '-', result = 372.099
line 625: op1 = -442.04, op2 = 819.62, op = '*', result = -362308.028
line 635: op1 = 381.18, op2 = -28.77, op = '+', result = 352.415
line 618: op1 = -653.64, op2 = 180.31, op = '/', result = -3.625
line 626: op1 = -213.41, op2 = -79.04, op = '*', result = 16867.788
line 636: op1 = -296.44, op2 = 203.80, op = '+', result = -92.638
line 619: op1 = 358.84, op2 = -157.45, op = '/', result = -2.279
line 621: op1 = -272.01, op2 = -164.86, op = '-', result = -107.157
line 620: op1 = 244.00, op2 = -128.10, op = '/', result = -1.905
line 627: op1 = 66.44, op2 = -256.25, op = '*', result = -17024.510
line 637: op1 = -387.11, op2 = -667.96, op = '+', result = -1055.073
line 622: op1 = -17.38, op2 = -217.19, op = '-', result = 199.813
line 628: op1 = 516.38, op2 = 397.22, op = '*', result = 205116.889
line 638: op1 = 352.45, op2 = 80.30, op = '+', result = 432.752
line 623: op1 = 180.66, op2 = -125.68, op = '-', result = 306.342
line 621: op1 = -272.01, op2 = -164.86, op = '/', result = 1.650
line 629: op1 = -277.48, op2 = 48.63, op = '*', result = -13494.280
line 639: op1 = 194.07, op2 = 170.96, op = '+', result = 365.033
line 624: op1 = 762.69, op2 = 248.32, op = '-', result = 514.375
line 622: op1 = -17.38, op2 = -217.19, op = '/', result = 0.080
line 630: op1 = 68.63, op2 = -343.17, op = '*', result = -23553.793
line 640: op1 = -4.22, op2 = -113.94, op = '+', result = -118.156
line 625: op1 = -442.04, op2 = 819.62, op = '-', result = -1261.665
line 641: op1 = -806.05, op2 = -806.05, op = '+', result = -1612.109
line 623: op1 = 180.66, op2 = -125.68, op = '/', result = -1.438
line 631: op1 = 323.63, op2 = 45.58, op = '*', result = 14751.477
line 626: op1 = -213.41, op2 = -79.04, op = '-', result = -134.368
line 642: op1 = -724.41, op2 = -470.50, op = '+', result = -1194.909
line 624: op1 = 762.69, op2 = 248.32, op = '/', result = 3.071
line 632: op1 = -24.72, op2 = -138.44, op = '*', result = 3422.304
line 627: op1 = 66.44, op2 = -256.25, op = '-', result = 322.690
line 643: op1 = 36.92, op2 = 57.59, op = '+', result = 94.506
line 625: op1 = -442.04, op2 = 819.62, op = '/', result = -0.539
line 633: op1 = 4.81, op2 = -202.20, op = '*', result = -973.418
line 628: op1 = 516.38, op2 = 397.22, op = '-', result = 119.165
line 644: op1 = 59.31, op2 = -1.65, op = '+', result = 57.659
line 626: op1 = -213.41, op2 = -79.04, op = '/', result = 2.700
line 634: op1 = -104.33, op2 = 85.01, op = '*', result = -8869.636
line 629: op1 = -277.48, op2 = 48.63, op = '-', result = -326.114
line 635: op1 = 381.18, op2 = -28.77, op = '*', result = -10966.079
line 645: op1 = 426.44, op2 = -408.30, op = '+', result = 18.146
line 627: op1 = 66.44, op2 = -256.25, op = '/', result = -0.259
line 630: op1 = 68.63, op2 = -343.17, op = '-', result = 411.810
line 636: op1 = -296.44, op2 = 203.80, op = '*', result = -60416.189
